,question,answer
99,"""What complications can arise from a blunt chest injury?""","""Complications from a blunt chest injury can include broken ribs, lung contusions, pneumothorax (collapsed lung), and internal bleeding. These conditions require prompt medical evaluation and treatment to prevent further complications."""
100,"""What should I do if someone has an abdominal wound?"""," ""For an abdominal wound, call emergency services immediately. Do not attempt to push any protruding organs back inside. Cover the wound with a clean, moist dressing, and secure it loosely. Keep the person still and calm, and avoid giving them anything to eat or drink."""
101,"""How can I help manage pain for someone with an abdominal wound?""","""To help manage pain, have the person lie on their back with their knees bent to reduce tension on the abdominal muscles. Cover the wound with a moist dressing and provide reassurance. Avoid moving the person unnecessarily and seek medical help immediately."""
102,"""What are the signs of a serious abdominal wound?""","""Signs of a serious abdominal wound include severe pain, bleeding, visible organs, swelling, and signs of shock (e.g., pale, clammy skin, rapid pulse, dizziness). Seek emergency medical help immediately if these symptoms are present."""
103,"""What should I do if someone is injured in a blast?""","""If someone is injured in a blast, call emergency services immediately. Assess the scene for safety before approaching. Check for breathing and responsiveness. Control any visible bleeding with direct pressure and cover wounds with sterile dressings. Keep the person still and monitor for signs of shock."""
104,"""What are the common injuries from a blast?""","""Common injuries from a blast include lacerations, fractures, burns, and internal injuries from the force of the explosion. Blast waves can cause lung injuries, ruptured eardrums, and internal bleeding. Immediate medical evaluation is crucial for all blast injury victims."""
105,"""How can I provide first aid for blast injuries while waiting for help?""","""Provide first aid by controlling bleeding with direct pressure, covering wounds with sterile dressings, and keeping the person calm and still. Monitor their breathing and be prepared to perform CPR if necessary. Avoid moving the person unless they are in immediate danger, and seek emergency medical help as soon as possible."""
106,,
107," ""Iâve been experiencing painful muscle cramps after working outside in the heat. What should I do?""","""Heat cramps are muscle spasms that typically occur in the abdomen, arms, or legs after strenuous activity in a hot environment. To treat heat cramps, stop all activity and rest in a cool, shaded area. Drink plenty of fluids, preferably sports drinks that replace lost salts and electrolytes. Stretch the affected muscles gently and massage them. Avoid strenuous activity for a few hours to allow your body to recover. If cramps persist or you have other symptoms like dizziness or nausea, seek medical attention."""
108,"""Why do heat cramps occur and how can I prevent them?"""," ""Heat cramps occur due to loss of fluids and electrolytes through sweating during prolonged physical activity in the heat. To prevent them, stay hydrated by drinking water or sports drinks regularly, especially before, during, and after exercise. Take breaks in the shade or a cool area to rest and recover. Wear lightweight, breathable clothing and avoid strenuous activities during the hottest parts of the day."""
109,"""Iâve heard that drinking sports drinks can help with heat cramps. Is that true?""","""Yes, sports drinks can be beneficial because they contain electrolytes such as sodium and potassium, which help replenish what you lose through sweat. This can help prevent and relieve heat cramps. Be sure to drink these fluids as soon as you start feeling cramps or even before engaging in strenuous activity in hot conditions."""
110,"""Iâve been feeling extremely tired, sweaty, and dizzy after being in the heat. What should I do?""","""It sounds like you might be experiencing heat exhaustion, which occurs when your body overheats. Move to a cooler place immediately, preferably an air-conditioned area. Lie down and elevate your legs slightly to improve circulation. Drink cool water or sports drinks to rehydrate. Remove or loosen any tight or heavy clothing. Apply cool, wet cloths to your skin or take a cool shower. Rest for the remainder of the day and avoid strenuous activities. If your symptoms worsen or don't improve within an hour, seek medical attention."""
111," ""What are the warning signs of heat exhaustion?"""," ""Heat exhaustion symptoms include heavy sweating, weakness, dizziness, headache, nausea or vomiting, muscle cramps, and pale, clammy skin. You might also experience a rapid, weak pulse and shallow breathing. If left untreated, heat exhaustion can progress to heat stroke, a more severe condition, so itâs important to cool down and rehydrate promptly."""
112,"""How can I prevent heat exhaustion when working outdoors?"""," ""To prevent heat exhaustion, drink plenty of fluids, take regular breaks in the shade or a cool environment, and wear lightweight, light-colored, and loose-fitting clothing. Try to schedule strenuous activities during the cooler parts of the day, such as early morning or late afternoon. Acclimate yourself gradually to the heat if you're not used to working in hot conditions. Pay attention to your body and stop to rest and cool down if you start feeling unwell."""
113,"""My friend has been out in the sun all day and now they're confused and not sweating. What should I do?""","""Your friend might be suffering from heat stroke, a serious condition that requires immediate medical attention. Call emergency services right away. Move your friend to a cooler place and try to cool them down while waiting for help. Remove excess clothing and apply cool water to their skin. You can also place ice packs on their armpits, groin, neck, and back, where blood vessels are close to the surface. Do not give them anything to drink if they are unconscious or very confused."""
114,"""What are the symptoms of heat stroke and why is it so dangerous?""","""Heat stroke occurs when the body's temperature regulation system fails, causing the core body temperature to rise above 104Â°F (40Â°C). Symptoms include a high body temperature, hot and dry skin, confusion, seizures, loss of consciousness, and a rapid, strong pulse. Heat stroke is dangerous because it can cause permanent organ damage or death if not treated promptly. Immediate cooling and emergency medical treatment are crucial."""
115,"""How can heat stroke be prevented during extreme heat?""","Preventing heat stroke involves staying hydrated, avoiding strenuous activity during peak heat, wearing appropriate clothing, and taking frequent breaks in a cool or shaded area. Use fans or air conditioning to keep cool indoors. Pay attention to heat advisories and limit outdoor activities during extreme heat. If you must be outside, drink plenty of fluids, apply sunscreen, and take breaks often."""
116,"""What should I do if I suspect someone has frostbite?""","""If you suspect frostbite, move the person to a warmer environment immediately. Avoid walking on frostbitten feet or toes to prevent further damage. Do not rub or massage the frostbitten area, as this can cause more injury. Gently warm the affected area by soaking it in warm (not hot) water for 15-30 minutes until the skin appears red and feels warm. Avoid direct heat, such as heating pads or fires, as numb areas can be easily burned. Seek medical attention as soon as possible, even if the skin starts to feel better."""
117,"""What are the signs of frostbite and how can I recognize it?"""," ""Signs of frostbite include skin that is cold, hard, and pale or white. As frostbite progresses, the skin may feel numb and develop blisters. Severe frostbite can cause the skin to turn blue or black and lose all sensation. It typically affects extremities such as fingers, toes, ears, and the nose. If you notice these symptoms, itâs important to act quickly to rewarm the affected area and seek medical care."""
118,"""How can I prevent frostbite when spending time outdoors in cold weather?""","""To prevent frostbite, dress in layers with moisture-wicking, insulating, and windproof materials. Protect your extremities by wearing gloves, thick socks, and a hat that covers your ears. Stay dry and avoid prolonged exposure to cold and windy conditions. Take frequent breaks in a warm area and keep an eye on weather conditions to avoid being caught in severe cold."""
119,"""Iâve been outside in the cold for a long time and now Iâm shivering uncontrollably. Could this be hypothermia?""","""Shivering is an early sign of hypothermia, which occurs when your body loses heat faster than it can produce it, causing your core body temperature to drop. Other symptoms include fatigue, confusion, slurred speech, and loss of coordination. If you suspect hypothermia, get to a warm place immediately. Remove any wet clothing and replace it with dry, warm layers. Use blankets, warm beverages, and body heat to warm up gradually. Avoid direct heat, such as hot baths, as this can cause shock. Seek medical attention if symptoms persist or worsen."""
120,"""What are the more severe symptoms of hypothermia, and when should I seek help?""","""Severe hypothermia symptoms include confusion, drowsiness, shallow breathing, weak pulse, and loss of consciousness. If someone exhibits these symptoms, they need immediate medical attention. Call emergency services and continue to warm the person while waiting for help. Use blankets, warm packs, and body heat to help stabilize their temperature."""
121,"""How can I avoid hypothermia when camping in cold weather?"""," ""To avoid hypothermia, wear appropriate clothing in layers, including moisture-wicking, insulating, and waterproof layers. Stay dry and change out of wet clothes promptly. Use a high-quality sleeping bag rated for cold weather and insulate yourself from the ground with a sleeping pad. Stay hydrated and eat high-energy foods to keep your body fuelled. Be aware of the signs of hypothermia and take action if you start feeling cold and shivering."""
122,"""What should I do if my skin gets stuck to a metal object in the cold?""","""If your skin sticks to a metal object in cold weather, do not pull away forcefully, as this can tear the skin. Warm the metal and your skin by using warm water or breathing warm air onto the area until the skin releases. If warm water is not available, gently cover the area with a warm cloth. Once the skin is free, treat any injuries with warm water and a clean bandage. Seek medical attention if there is significant damage or if the skin does not warm up properly."""
123,"""Why does skin freeze to metal objects in cold weather?""","""Skin can freeze to metal objects in cold weather because metal conducts heat away from your skin quickly, causing moisture on your skin to freeze and create a bond with the metal. This is why itâs important to avoid touching metal objects with bare skin in freezing temperatures."""
124,"""How can I prevent my skin from sticking to metal in the cold?""","""To prevent your skin from sticking to metal, avoid touching metal objects with bare skin in cold weather. Wear gloves and use tools with insulated handles. Be mindful of children, who might be tempted to touch metal objects like playground equipment. Educate them about the dangers and ensure they wear gloves and appropriate clothing."""
125,"""After skiing, my eyes are red and very painful. What should I do?""","""It sounds like you might have snow blindness, which is a sunburn of the cornea caused by exposure to UV rays reflected off snow. To treat it, move to a darkened room and avoid bright light. Apply cool, damp compresses to your eyes and take over-the-counter pain relievers if necessary. Avoid rubbing your eyes, as this can cause further irritation. Wear sunglasses or goggles when outside to prevent further damage. If pain or symptoms persist, seek medical attention."""
126,"""What are the symptoms of snow blindness?""","""Symptoms of snow blindness include red, painful eyes, a gritty feeling in the eyes, sensitivity to light, and blurred vision. You might also experience headache and see halos around lights. These symptoms usually appear several hours after exposure and can be very uncomfortable."""
127," ""How can I prevent snow blindness when spending time in snowy environments?""","""To prevent snow blindness, wear sunglasses or goggles that block UV rays whenever youâre outside in snowy conditions. Choose eyewear with side shields to protect your eyes from reflective glare. Take breaks from bright sunlight and avoid looking directly at the snow for extended periods."""
128,"""I fell into cold water while fishing, and now Iâm extremely cold and shivering. What should I do?"""," ""Cold-water immersion can quickly lead to hypothermia. Get out of the water immediately and find shelter. Remove any wet clothing and dry off as much as possible. Put on dry, warm clothing and wrap yourself in blankets. Drink warm, non-alcoholic beverages to help raise your body temperature. If youâre unable to warm up or if you feel confused or lethargic, seek medical attention immediately."""
129,"""Why is cold-water immersion so dangerous?""","""Cold-water immersion is dangerous because it can rapidly lower your body temperature, leading to hypothermia. The initial shock of cold water can cause you to gasp and inhale water, increasing the risk of drowning. Prolonged exposure can impair your ability to move and make it difficult to get out of the water, which is why immediate action is necessary."""
130,"""How can I stay safe while engaging in activities around cold water?""","""To stay safe, wear a life jacket whenever youâre near cold water. Dress in layers and consider wearing a wet or dry suit for added insulation. Avoid alcohol, as it can impair your judgment and increase heat loss. Be aware of the signs of hypothermia and take immediate action if you fall into cold water."""
131,"""What should I do if I see someone struggling to stay afloat in the water?""","""If you see someone struggling in the water, act quickly but safely. Call for help and, if possible, throw a flotation device or something that floats to the person. Use a reaching or throwing assist, such as a pole, rope, or towel, to help pull them to safety without putting yourself at risk. Only enter the water to rescue if you are trained and itâs safe to do so. Once the person is out of the water, check for breathing and responsiveness and provide first aid if necessary. Keep them warm and seek medical attention."""
132,"""How can I safely rescue someone from drowning without putting myself at risk?""","""To safely rescue someone, follow the reach, throw, row, go approach. First, try to reach the person with an extended object. If thatâs not possible, throw a flotation device or rope to them. If the person is too far to reach or throw something, use a boat to row to them. Only go into the water as a last resort and if you are a strong swimmer. Ensure your own safety by wearing a flotation device."""
133,"""What should I do after rescuing someone who was drowning but is now responsive?"""," ""After rescuing a responsive person, keep them calm and warm. Check for any injuries and monitor their breathing and responsiveness. Encourage them to cough up any water they might have swallowed. Seek medical attention as soon as possible, as they might have inhaled water or suffered other injuries that arenât immediately apparent."""
134,"""What should I do if I find someone unresponsive in the water?""","If you find someone unresponsive in the water, call for help immediately. If itâs safe to do so, carefully remove them from the water. Check for breathing and a pulse. If they are not breathing, begin CPR right away. Provide chest compressions and rescue breaths until emergency services arrive or the person starts to breathe on their own. Use an automated external defibrillator (AED) if one is available and follow the prompts."""
135," ""How do I perform CPR on someone who has drowned and is unresponsive?""","""To perform CPR, first ensure the person is on a firm surface. Start with 30 chest compressions by placing your hands in the center of their chest and pressing down hard and fast at a rate of 100-120 compressions per minute. Follow with two rescue breaths by tilting their head back, lifting their chin, and blowing into their mouth until you see their chest rise. Continue the cycle of 30 compressions and two breaths until emergency help arrives or the person starts breathing on their own."""
136,"""What are the critical steps to take while waiting for emergency services after rescuing an unresponsive drowning victim?""","""While waiting for emergency services, continue performing CPR if the person is not breathing. Keep them warm and dry by covering them with blankets or clothing. Monitor their condition and be prepared to provide additional first aid if necessary. Inform emergency responders of the situation and any steps youâve taken. If the person starts breathing on their own, place them in the recovery position and continue to monitor their condition until help arrives."""
137,"[""What to do if Cuts?"", ""How to cure Cuts?"", ""Which medicine to apply for Cuts?"", ""what to apply on cuts?"", ""Cuts""]","[""Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2 minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.""]"
138,"[""What to do if Burns?"", ""How to treat Burns?"", ""Which ointment to apply for Burns?"", ""How to heal Burns?"", ""Burns""]","[""Cool the burn under running water for at least 10 minutes. Avoid ice as it can damage tissues. Apply aloe vera gel or a burn ointment to soothe the skin. Cover the burn with a sterile non-stick bandage. Take pain relievers like ibuprofen or acetaminophen if needed. Seek medical attention if the burn is severe.""]"
139,"[""What to do if Sprain?"", ""How to treat Sprains?"", ""How to heal a Sprain?"", ""Which bandage to use for Sprains?"", ""Sprains""]","[""Rest the injured area and avoid putting weight on it. Apply ice packs for 15-20 minutes every 2-3 hours. Compress the area with an elastic bandage to reduce swelling. Elevate the injured limb above heart level. Use over-the-counter pain relievers to manage pain. Seek medical advice if necessary.""]"
140,"[""How to treat Sunburn?"", ""What to do for Sunburn?"", ""Which lotion to use for Sunburn?"", ""Sunburn remedies"", ""Sunburn""]","[""Stay out of the sun and keep the affected area cool with cold compresses or cool baths. Apply aloe vera gel or a moisturizer containing aloe vera. Drink plenty of water to stay hydrated. Avoid breaking any blisters. Take pain relievers like ibuprofen to reduce pain and inflammation.""]"
141,"[""How to treat a Fracture?"", ""What to do for a broken bone?"", ""First aid for Fracture?"", ""How to heal a broken bone?"", ""Fracture""]","[""Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Keep the person calm and still. Avoid moving the broken bone. Seek medical attention immediately. Do not attempt to realign the bone. Provide pain relief if available.""]"
142,"[""How to treat Choking?"", ""What to do if someone is Choking?"", ""Choking first aid"", ""Steps to help Choking person"", ""Choking""]","[""Perform the Heimlich maneuver by standing behind the person and giving abdominal thrusts. If the person is unconscious, perform CPR and call for emergency help. Encourage the person to cough if they can. Avoid giving the person anything to eat or drink.""]"
143,"[""How to treat Nosebleeds?"", ""What to do for a Nosebleed?"", ""How to stop a Nosebleed?"", ""Nosebleed remedies"", ""Nosebleed""]","[""Sit the person down and lean them forward slightly. Pinch the soft part of the nose and hold for 10-15 minutes. Apply a cold compress to the nose and cheeks. Avoid blowing the nose or inserting anything into the nostrils. Seek medical attention if bleeding persists.""]"
144,"[""How to treat Insect Bites?"", ""What to do for Insect Bites?"", ""How to relieve Insect Bites?"", ""Insect Bite remedies"", ""Insect Bites""]","[""Wash the area with soap and water. Apply a cold compress to reduce swelling. Use over-the-counter creams or lotions to relieve itching. Avoid scratching the bite to prevent infection. Take antihistamines if needed to reduce allergic reactions. Seek medical help if symptoms worsen.""]"
145,"[""How to treat Poisoning?"", ""What to do if someone is Poisoned?"", ""First aid for Poisoning?"", ""How to manage Poisoning?"", ""Poisoning""]","[""Call emergency services immediately. Do not induce vomiting unless instructed by a professional. Try to determine the type of poison ingested. Follow the advice of medical professionals over the phone. Keep the person calm and still while waiting for help.""]"
146,"[""How to treat Frostbite?"", ""What to do for Frostbite?"", ""First aid for Frostbite?"", ""How to warm Frostbitten area?"", ""Frostbite""]","[""Move the person to a warm environment. Remove any wet clothing and replace it with dry, warm clothing. Gently warm the affected area using warm water (not hot). Avoid rubbing the frostbitten area. Seek medical attention immediately. Do not use direct heat like stoves or heaters.""]"
147,"[""What to do for Seizures?"", ""How to handle a Seizure?"", ""First aid for Seizures?"", ""Seizure management"", ""Seizures""]","[""Stay calm and time the seizure. Protect the person from injury by moving objects away from them. Do not hold the person down or put anything in their mouth. Place them in the recovery position once the seizure stops. Seek medical help if the seizure lasts more than 5 minutes or if it's their first seizure.""]"
148,"[""How to treat Hypothermia?"", ""What to do for Hypothermia?"", ""First aid for Hypothermia?"", ""How to warm someone with Hypothermia?"", ""Hypothermia""]","[""Move the person to a warm, dry place. Remove any wet clothing and replace with dry, warm clothing. Use blankets to warm the person gradually. Give warm (not hot) beverages if the person is conscious. Seek medical attention immediately. Avoid using direct heat like heaters or hot water.""]"
149,"[""How to treat Heat Stroke?"", ""What to do for Heat Stroke?"", ""First aid for Heat Stroke?"", ""How to cool someone with Heat Stroke?"", ""Heat Stroke""]","[""Move the person to a cooler environment. Remove excess clothing and cool the person with damp cloths or a cool bath. Fan the person to promote sweating and evaporation. Give cool (not cold) water if the person is conscious. Seek medical attention immediately as heat stroke is a medical emergency.""]"
150,"[""How to treat Allergic Reactions?"", ""What to do for Allergic Reactions?"", ""First aid for Allergic Reactions?"", ""How to manage Allergic Reactions?"", ""Allergic Reactions""]","[""Identify and avoid the allergen if possible. Use antihistamines to relieve mild symptoms. For severe reactions, use an epinephrine auto-injector if available. Seek medical help immediately for severe reactions. Monitor the person for any changes in condition.""]"
151,"[""How to treat Heart Attack?"", ""What to do for Heart Attack?"", ""First aid for Heart Attack?"", ""Heart Attack management"", ""Heart Attack""]","[""Call emergency services immediately. Keep the person calm and seated. Loosen any tight clothing. If the person is conscious, give them aspirin if they are not allergic. Monitor their condition until help arrives. Be prepared to perform CPR if the person becomes unconscious.""]"
152,"[""How to treat Stroke?"", ""What to do for Stroke?"", ""First aid for Stroke?"", ""How to recognize Stroke symptoms?"", ""Stroke""]","[""Call emergency services immediately. Note the time when symptoms first appeared. Keep the person comfortable and calm. Do not give them anything to eat or drink. Monitor their condition until help arrives. Be prepared to perform CPR if necessary.""]"
153,"[""How to treat Asthma Attack?"", ""What to do for Asthma Attack?"", ""First aid for Asthma Attack?"", ""How to manage Asthma Attack?"", ""Asthma Attack""]","[""Help the person use their prescribed inhaler. Encourage slow, deep breaths. Keep the person calm and seated. If symptoms persist, call emergency services. Monitor their condition until help arrives.""]"
154,"[""How to treat Dehydration?"", ""What to do for Dehydration?"", ""First aid for Dehydration?"", ""How to rehydrate?"", ""Dehydration""]","[""Encourage the person to drink water or oral rehydration solutions. Move them to a cool place if they are overheated. Monitor for signs of severe dehydration like confusion or fainting. Seek medical help if symptoms worsen or do not improve.""]"
155,"[""How to treat Hyperventilation?"", ""What to do for Hyperventilation?"", ""First aid for Hyperventilation?"", ""How to calm Hyperventilation?"", ""Hyperventilation""]","[""Encourage the person to breathe slowly and deeply into a paper bag or cupped hands. Stay calm and provide reassurance. Move them to a quiet, comfortable place. Monitor their condition until they are calm. Seek medical help if symptoms persist.""]"
156,"[""How to treat Hypoglycemia?"", ""What to do for Low Blood Sugar?"", ""First aid for Hypoglycemia?"", ""How to raise Blood Sugar?"", ""Hypoglycemia""]","[""Give the person a sugary snack or drink, such as fruit juice or glucose tablets. Monitor their condition for improvement. Encourage them to rest. If symptoms do not improve or worsen, seek medical help. If the person becomes unconscious, call emergency services immediately.""]"
157,"[""How to treat Fainting?"", ""What to do for Fainting?"", ""First aid for Fainting?"", ""How to revive someone from Fainting?"", ""Fainting""]","[""Lay the person flat on their back and elevate their legs. Loosen any tight clothing. Ensure they have plenty of fresh air. If they do not regain consciousness within a minute, seek medical help. Monitor their condition until help arrives.""]"
158,"[""How to treat Blisters?"", ""What to do for Blisters?"", ""First aid for Blisters?"", ""How to care for Blisters?"", ""Blisters""]","[""Leave the blister intact if possible. Cover it with a sterile bandage or blister pad. If the blister is painful, drain it using a sterile needle. Clean the area with antiseptic. Apply an antibiotic ointment and cover with a bandage. Monitor for signs of infection.""]"
159,"[""How to treat Diarrhea?"", ""What to do for Diarrhea?"", ""First aid for Diarrhea?"", ""How to manage Diarrhea?"", ""Diarrhea""]","[""Stay hydrated by drinking plenty of water or oral rehydration solutions. Avoid caffeine, alcohol, and dairy products. Eat bland foods like bananas, rice, and toast. Use over-the-counter medications like loperamide if needed. Seek medical help if symptoms persist or worsen.""]"
160,"[""How to treat Constipation?"", ""What to do for Constipation?"", ""First aid for Constipation?"", ""How to relieve Constipation?"", ""Constipation""]","[""Increase fiber intake through fruits, vegetables, and whole grains. Drink plenty of water. Exercise regularly to stimulate bowel movements. Use over-the-counter laxatives if necessary. Seek medical help if symptoms persist.""]"
161,"[""How to treat Nausea?"", ""What to do for Nausea?"", ""First aid for Nausea?"", ""How to manage Nausea?"", ""Nausea""]","[""Sit or lie down in a comfortable position. Drink clear or ice-cold drinks. Eat light, bland foods like crackers or toast. Avoid strong odors and foods that are greasy or sweet. Use over-the-counter medications like antacids or antihistamines if necessary.""]"
162,"[""How to treat Earache?"", ""What to do for Earache?"", ""First aid for Earache?"", ""How to relieve Earache?"", ""Earache""]","[""Apply a warm compress to the affected ear. Use over-the-counter pain relievers like ibuprofen or acetaminophen. Avoid inserting anything into the ear. Seek medical help if the pain persists or is accompanied by other symptoms.""]"
163,"[""How to treat Pink Eye?"", ""What to do for Pink Eye?"", ""First aid for Pink Eye?"", ""How to manage Pink Eye?"", ""Pink Eye""]","[""Wash hands frequently and avoid touching the eyes. Use a warm or cool compress to relieve discomfort. Avoid sharing towels, pillows, or makeup. Use over-the-counter eye drops if necessary. Seek medical help if symptoms worsen or do not improve.""]"
164,"[""How to treat Toothache?"", ""What to do for Toothache?"", ""First aid for Toothache?"", ""How to relieve Toothache?"", ""Toothache""]","[""Rinse the mouth with warm salt water. Use over-the-counter pain relievers like ibuprofen or acetaminophen. Apply a cold compress to the outside of the cheek. Avoid very hot or cold foods. Seek dental care if the pain persists.""]"
165,"[""How to treat Migraine?"", ""What to do for Migraine?"", ""First aid for Migraine?"", ""How to relieve Migraine?"", ""Migraine""]","[""Rest in a quiet, dark room. Apply a cold compress to the forehead. Stay hydrated by drinking plenty of water. Use over-the-counter medications like ibuprofen or acetaminophen. Avoid triggers such as caffeine, alcohol, and stress. Seek medical help if the migraine is severe or persistent.""]"
166,"[""How to treat Sore Throat?"", ""What to do for Sore Throat?"", ""First aid for Sore Throat?"", ""How to relieve Sore Throat?"", ""Sore Throat""]","[""Gargle with warm salt water. Drink warm liquids like tea with honey. Use over-the-counter lozenges or throat sprays. Avoid smoking and secondhand smoke. Seek medical help if the sore throat is severe or persistent.""]"
167,"[""How to treat Cough?"", ""What to do for Cough?"", ""First aid for Cough?"", ""How to relieve Cough?"", ""Cough""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter cough suppressants or lozenges. Inhale steam from a bowl of hot water or take a hot shower. Avoid irritants like smoke and strong odors. Seek medical help if the cough persists or is accompanied by other symptoms.""]"
168,"[""How to treat Vomiting?"", ""What to do for Vomiting?"", ""First aid for Vomiting?"", ""How to manage Vomiting?"", ""Vomiting""]","[""Stay hydrated by drinking small sips of clear fluids. Avoid solid foods until vomiting subsides. Rest in a comfortable position. Use over-the-counter medications like antiemetics if necessary. Seek medical help if vomiting persists or is accompanied by other symptoms.""]"
169,"[""How to treat Stomach Ache?"", ""What to do for Stomach Ache?"", ""First aid for Stomach Ache?"", ""How to relieve Stomach Ache?"", ""Stomach Ache""]","[""Drink plenty of water and avoid fatty or spicy foods. Use a heating pad or hot water bottle on the abdomen. Take over-the-counter antacids or pain relievers if necessary. Rest in a comfortable position. Seek medical help if the pain is severe or persistent.""]"
170,"[""How to treat Back Pain?"", ""What to do for Back Pain?"", ""First aid for Back Pain?"", ""How to relieve Back Pain?"", ""Back Pain""]","[""Apply a cold or hot compress to the affected area. Use over-the-counter pain relievers like ibuprofen or acetaminophen. Avoid heavy lifting or strenuous activities. Perform gentle stretches to ease muscle tension. Seek medical help if the pain persists or is severe.""]"
171,"[""How to treat Dizziness?"", ""What to do for Dizziness?"", ""First aid for Dizziness?"", ""How to relieve Dizziness?"", ""Dizziness""]","[""Sit or lie down immediately to prevent falls. Drink plenty of water to stay hydrated. Avoid sudden movements or standing up too quickly. Use over-the-counter medications like antihistamines if necessary. Seek medical help if dizziness persists or is accompanied by other symptoms.""]"
172,"[""How to treat Hangover?"", ""What to do for Hangover?"", ""First aid for Hangover?"", ""How to relieve Hangover?"", ""Hangover""]","[""Drink plenty of water to rehydrate. Eat light, bland foods like toast or crackers. Take over-the-counter pain relievers like ibuprofen or acetaminophen. Rest in a comfortable position. Avoid alcohol and caffeinated drinks. Seek medical help if symptoms are severe or persistent.""]"
173,"[""How to treat Jet Lag?"", ""What to do for Jet Lag?"", ""First aid for Jet Lag?"", ""How to relieve Jet Lag?"", ""Jet Lag""]","[""Adjust your sleep schedule to the new time zone as soon as possible. Stay hydrated by drinking plenty of water. Avoid caffeine and alcohol. Get plenty of natural light exposure during the day. Take short naps if needed. Seek medical help if symptoms persist.""]"
174,"[""How to treat Insomnia?"", ""What to do for Insomnia?"", ""First aid for Insomnia?"", ""How to manage Insomnia?"", ""Insomnia""]","[""Maintain a regular sleep schedule. Avoid caffeine, alcohol, and heavy meals before bedtime. Create a relaxing bedtime routine. Keep the sleep environment dark, quiet, and cool. Use over-the-counter sleep aids if necessary. Seek medical help if insomnia persists.""]"
175,"[""How to treat Anxiety?"", ""What to do for Anxiety?"", ""First aid for Anxiety?"", ""How to manage Anxiety?"", ""Anxiety""]","[""Practice deep breathing exercises to calm the mind. Engage in regular physical activity. Avoid caffeine and alcohol. Use relaxation techniques like meditation or yoga. Seek professional help if anxiety is severe or persistent.""]"
176,"[""How to treat Depression?"", ""What to do for Depression?"", ""First aid for Depression?"", ""How to manage Depression?"", ""Depression""]","[""Encourage the person to talk about their feelings. Suggest engaging in physical activities and hobbies. Avoid alcohol and drugs. Use over-the-counter supplements like St. John's Wort if appropriate. Seek professional help if depression is severe or persistent.""]"
177,"[""How to treat Panic Attack?"", ""What to do for Panic Attack?"", ""First aid for Panic Attack?"", ""How to manage Panic Attack?"", ""Panic Attack""]","[""Encourage slow, deep breathing to calm the person. Move them to a quiet, safe place. Reassure them that the attack will pass. Use grounding techniques like focusing on surroundings. Seek professional help if panic attacks are frequent or severe.""]"
178,"[""How to treat Anaphylaxis?"", ""What to do for Anaphylaxis?"", ""First aid for Anaphylaxis?"", ""How to manage Anaphylaxis?"", ""Anaphylaxis""]","[""Administer an epinephrine auto-injector immediately if available. Call emergency services. Keep the person lying down with their legs elevated. Loosen any tight clothing. Monitor their condition until help arrives. Be prepared to perform CPR if necessary.""]"
179,"[""How to treat Meningitis?"", ""What to do for Meningitis?"", ""First aid for Meningitis?"", ""How to manage Meningitis?"", ""Meningitis""]","[""Seek medical help immediately as meningitis can be life-threatening. Keep the person comfortable and monitor their condition. Provide plenty of fluids if they are able to drink. Avoid bright lights and loud noises. Be prepared to follow medical advice and care instructions.""]"
180,"[""How to treat Rabies?"", ""What to do for Rabies?"", ""First aid for Rabies?"", ""How to manage Rabies?"", ""Rabies""]","[""Seek medical help immediately as rabies is a medical emergency. Wash the wound thoroughly with soap and water. Avoid applying any creams or ointments. Follow the advice of medical professionals for post-exposure prophylaxis. Monitor the person's condition closely.""]"
181,"[""How to treat Tetanus?"", ""What to do for Tetanus?"", ""First aid for Tetanus?"", ""How to manage Tetanus?"", ""Tetanus""]","[""Seek medical help immediately as tetanus requires prompt treatment. Clean the wound thoroughly with soap and water. Avoid applying any creams or ointments. Ensure the person is up to date with their tetanus vaccination. Follow the advice of medical professionals.""]"
182,"[""How to treat Snakebite?"", ""What to do for Snakebite?"", ""First aid for Snakebite?"", ""How to manage Snakebite?"", ""Snakebite""]","[""Seek medical help immediately as snakebites can be life-threatening. Keep the person calm and still to slow the spread of venom. Immobilize the bitten limb and keep it below heart level. Avoid applying ice or a tourniquet. Monitor the person's condition until help arrives.""]"
183,"[""How to treat Spider Bite?"", ""What to do for Spider Bite?"", ""First aid for Spider Bite?"", ""How to manage Spider Bite?"", ""Spider Bite""]","[""Wash the bite area with soap and water. Apply a cold compress to reduce swelling. Use over-the-counter pain relievers and antihistamines if necessary. Seek medical help if symptoms worsen or if the bite is from a venomous spider. Monitor for signs of infection.""]"
184,"[""How to treat Jellyfish Sting?"", ""What to do for Jellyfish Sting?"", ""First aid for Jellyfish Sting?"", ""How to manage Jellyfish Sting?"", ""Jellyfish Sting""]","[""Rinse the sting area with vinegar to neutralize the toxins. Remove any tentacles using a pair of tweezers. Avoid rubbing the sting area. Apply a cold pack to reduce pain and swelling. Seek medical help if symptoms worsen or if the person has a severe allergic reaction.""]"
